x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21
-0.0446880795485297,-0.3770784491307741,-0.0712777313193956,-0.0086731323161971,-0.4316609574234455,-0.0701763668717615,-0.0798777488095765,-0.4337183312104,-0.0905015579954473,-0.0371768347557625,-0.297336726101982,-0.0959028110514424,0.0247763919428114,-0.6651174966269074,0.011181142204867,-0.1183667601996439,-0.682917587443312,-0.1403053120302031,-0.0342118932132153,-0.2155706991816587,-0.0627334527504129,0.023507916012695,-0.944810843171215,0.0054701391983132,-0.0747916608995157,-0.9263018255142216,-0.2338656461046687,-0.0311008557191894,-0.181423900698923,-0.0524130204553714,0.0433069076154158,-0.975365669704217,0.0850752486806015,-0.1421715560313311,-0.971881758159054,-0.1877048129731797,-0.0116209227258718,-0.0455602399096456,-0.0423356357442818,0.0270095012209141,-0.1186818478380109,-0.0455202279197689,-0.0702783526207373,-0.0985492572062428,-0.0520706830939964,0.0,0.0,0.0,0.106361445152223,-0.1251729128387192,-0.0364848814265373,-0.1421270343928246,-0.0740564783704706,-0.041759648591502,0.1805156024345075,-0.260064370374261,-0.0166619690508281,-0.2511366160107138,-0.1826609214746036,0.0017261167782354,0.1378290847654414,-0.287983048278688,0.1211439248045511,-0.1959364369955155,-0.1557150281306678,0.1319092156580548
-0.048209981662112114,-0.3767848479348463,-0.07231420850255112,-0.011547434798661407,-0.4303191113797374,-0.07107438340028815,-0.08350512846823863,-0.43322387169622795,-0.09063231461955638,-0.04078151129219647,-0.2969072123564846,-0.09784909494592473,0.022844742527580935,-0.664018038576967,0.009683691458774723,-0.1198238680374651,-0.6814314093768096,-0.14424098735926455,-0.03788070295178105,-0.2158009425704756,-0.06416551004186334,0.01972115332167124,-0.9406598183912854,0.0012366939819684073,-0.07853677443884055,-0.9263363418530275,-0.2360511696939867,-0.034986155193177854,-0.18139923257287197,-0.05387896266568165,0.03607035040468186,-0.9742329638043533,0.07950836557230687,-0.14259188509205084,-0.9717224944863587,-0.18820964700403547,-0.014515767332838797,-0.045283152021828615,-0.042752039029289375,0.024033953136964,-0.11898547720308517,-0.046682349125578705,-0.07407985415961037,-0.09818941514976208,-0.0521995786039014,0.0,0.0,0.0,0.10449034222965045,-0.12572701009470746,-0.0383979887998784,-0.14785712936352596,-0.07363745076406454,-0.03980627374043352,0.17999975491487466,-0.2610669095101156,-0.018000633601888947,-0.25825996448669364,-0.1866303402556509,0.007138432959459413,0.12303257684863994,-0.29155232026036204,0.12196432308763068,-0.20202668857048262,-0.16473562924134014,0.1385096454442431
-0.04818968125135372,-0.3771920287806777,-0.07524348486287027,-0.011432624368282697,-0.4309646288824348,-0.07336401030686672,-0.08345854211085606,-0.43406051470802204,-0.09387844218623333,-0.04168113815350277,-0.2974696698758806,-0.10132291914652053,0.022686716450587566,-0.6631506137355048,0.0026407213185171757,-0.12104148694301785,-0.6796444979300941,-0.14641737755338635,-0.038938102146174186,-0.2155319457853373,-0.06797644456335863,0.019684704470215215,-0.9410197771243476,-0.006367399910758005,-0.08008495480092093,-0.9255191879095493,-0.23826531387344274,-0.0361710905077096,-0.18106049227371004,-0.05723311720399319,0.03678980376134954,-0.9740774552258527,0.07106599097999051,-0.14250759185660217,-0.971362044346755,-0.1901209156643467,-0.014705662273085082,-0.044852376200963384,-0.04275690530646447,0.02335536094142264,-0.11792775504853366,-0.0491645728127101,-0.07502792086107933,-0.09843824466230282,-0.053624016412203136,0.0,0.0,0.0,0.10445859442045796,-0.12579471289623334,-0.040563971371415,-0.1502652717204015,-0.07690546959528138,-0.04200852998344273,0.17813496107768143,-0.26452408822238094,-0.02583842881719762,-0.2550578098305445,-0.19091811534176784,-0.0010873999244916024,0.11915298916190269,-0.2989965751770989,0.11319318217783503,-0.19599398593241585,-0.16768659856532453,0.13273212905369813
-0.04848315811285499,-0.3769664211783801,-0.07629262764746908,-0.011688611469241005,-0.43090940953681844,-0.07384140134069948,-0.08308154104964298,-0.43429808245796225,-0.09494536605877278,-0.042583337418134,-0.29751633556833107,-0.1032866846148269,0.022354323340929,-0.6624879735447474,-0.000946770759527272,-0.11982290814961365,-0.6790595805428224,-0.14570712938520486,-0.0398141655893598,-0.21530808323560935,-0.06973596383863274,0.018799869588324778,-0.9408969539024802,-0.010033630070405758,-0.08000128250413283,-0.92634133911811,-0.23786341922690193,-0.03707346709153761,-0.18054811608932111,-0.05937771285759927,0.03615635076926689,-0.9730663852557692,0.06716610188150575,-0.14267254268941235,-0.9711335604337229,-0.19116494505839984,-0.014930949768640848,-0.0442385081962468,-0.042914319515553113,0.022798128329451797,-0.11716594287537872,-0.05009161226779469,-0.07553420047781911,-0.09802144633028488,-0.05506077927946025,0.0,0.0,0.0,0.10402190645676068,-0.12542806958370176,-0.04177806700835244,-0.15131221693240254,-0.07796512078512288,-0.04515567316769784,0.17452060327434277,-0.2657646904542079,-0.03236507500874763,-0.25260910464641556,-0.19452312722922993,-0.009260973628631137,0.11165180245369923,-0.3056857504359653,0.10783329700822848,-0.19569274814153806,-0.17006873172971346,0.1267798047369279
-0.04796254644324594,-0.3768695905480262,-0.07666258573650829,-0.011210377943745927,-0.4308746164129502,-0.07425846100987075,-0.08231906917757979,-0.43433465196281235,-0.09477024305056025,-0.04233509418256818,-0.29745104181099996,-0.10418936783715074,0.023844339454688054,-0.6628278973241873,-0.0033407780606746,-0.11772943616734581,-0.6781470992275803,-0.1443765354872314,-0.03931004165665739,-0.21496750023167668,-0.07058130209679513,0.0208057024065135,-0.9408864094523729,-0.013119914994855294,-0.08110886684115819,-0.9276797952626511,-0.23707906507295332,-0.036751180661067286,-0.18008742385626836,-0.06045202158758558,0.03808845528524146,-0.972459642281204,0.06353922273483821,-0.14327156808190783,-0.9712480609273908,-0.19012621542295124,-0.014921263252390179,-0.043734763463813504,-0.0431682702759209,0.023034461455392004,-0.11649855344855033,-0.05044925267567909,-0.07521215809714013,-0.09767232360303278,-0.055877068409252814,0.0,0.0,0.0,0.10437691786792272,-0.12477428093756554,-0.04262487881196319,-0.15146656908188907,-0.07849027427670163,-0.04719989178872573,0.17167244177379232,-0.2660392702527531,-0.036116474391056586,-0.2510457393636708,-0.1993462203889907,-0.016436767667033243,0.10509330855101202,-0.3095449210433572,0.1062446664935254,-0.1966205158618281,-0.17357645942060115,0.12133746419732298
-0.04651087290889783,-0.37684558528163364,-0.07847066327507278,-0.009672437093263297,-0.4308819432226571,-0.07668745487125697,-0.08121734645411166,-0.43427107177129837,-0.0959544696163074,-0.041057295984038296,-0.2972231622001898,-0.10571265472167396,0.026887233670444093,-0.6631601377802968,-0.006273086532778672,-0.11732810676255802,-0.6764795229684203,-0.1455528404337048,-0.0377112782228154,-0.21431652970460105,-0.07217939727176265,0.0255641564394794,-0.9408405109405761,-0.01735758668100871,-0.08367236173639454,-0.9267922984023925,-0.2409285247133232,-0.03547823383711858,-0.17969437304738625,-0.06158288699890609,0.04272202761463466,-0.9721236104332209,0.058793461846365025,-0.14458605927393522,-0.970591576139892,-0.19236205126702233,-0.014754560311947417,-0.04333900254904131,-0.0434575993800835,0.02387653269564244,-0.11556764949900222,-0.0512505395992351,-0.07438542563774052,-0.09768857889273597,-0.05648129226310506,0.0,0.0,0.0,0.10558336713211816,-0.1241446891420532,-0.04360084286522947,-0.15132765393374611,-0.08001771180088268,-0.04821768073679166,0.17015549625288723,-0.2668600707353742,-0.03848293284641113,-0.24843086408582735,-0.2058642472218778,-0.02420042059702151,0.10157661694830254,-0.3118746505363271,0.10495288573472276,-0.1943177251525173,-0.17956534603761637,0.11565907164320503
-0.045910439153036664,-0.3761817109101184,-0.08171339870306694,-0.008559213303297081,-0.4301073843696561,-0.08061500169765579,-0.08066739565649969,-0.4337974109733024,-0.09893462860103876,-0.04065260603511483,-0.2964460565341338,-0.10837055499404111,0.02864616085694474,-0.6620342371516369,-0.007870023693071103,-0.11950189238121353,-0.6757324420694487,-0.1491260469179916,-0.037103835714498795,-0.21364798485432737,-0.07423807771508585,0.027822720445240035,-0.9395124829537032,-0.020582373313039908,-0.08544702616010177,-0.923051728371732,-0.2500601987029098,-0.03506023360953813,-0.1793531374023936,-0.0631540534231755,0.04453620910864485,-0.9707652257170964,0.05602300346597914,-0.14664152368931152,-0.968346403903993,-0.20198896224688154,-0.01535073445327492,-0.04287728700785554,-0.043820395187731606,0.023955898783976158,-0.11465065350564912,-0.052132526757185146,-0.0744089254867838,-0.09761100372359707,-0.057489091965746364,0.0,0.0,0.0,0.10604547530358069,-0.12384418833133795,-0.044530524379528424,-0.15173623232272695,-0.08169126297482465,-0.04942354050782874,0.16827026357520883,-0.26776446263323583,-0.04073176644705812,-0.24460857543275769,-0.21243786569892734,-0.03215938241366988,0.09677758484226655,-0.31459585562889014,0.1026725934371548,-0.19091044091253762,-0.18943441719178947,0.11097438924298576
-0.04518173322371629,-0.3770824770873882,-0.08210134229966688,-0.007642797985228995,-0.43111453325823135,-0.08168322589907669,-0.08016273263146233,-0.43486507625007864,-0.09866764313955875,-0.04027537460705302,-0.2972857411391103,-0.10876014654300745,0.029851949792773884,-0.6634463869168461,-0.008960767598629937,-0.12062862586404875,-0.6773661184280317,-0.14550991185603884,-0.03645379779748204,-0.21414488120771052,-0.07463258056375459,0.027871345908439094,-0.9408007127068381,-0.025354573588837075,-0.08703502971455145,-0.9239259675742354,-0.24734116374673595,-0.03449779102510207,-0.17973432975371229,-0.06352569728746123,0.04696955871935303,-0.9713961550419214,0.05024458609425901,-0.147686028518631,-0.9688695889412963,-0.19869684871345838,-0.01584286500909674,-0.042956918326745024,-0.04393759597701598,0.02409901279747312,-0.11451464984071472,-0.05252594853548642,-0.07451314653529009,-0.09822176157026177,-0.05748460981944616,0.0,0.0,0.0,0.10640670533128847,-0.12373020789971127,-0.04536539064185213,-0.1522288747562543,-0.08386184606617554,-0.05000583368230115,0.1666978592191131,-0.26768436338914303,-0.04143127972808533,-0.23971960340972379,-0.21853183418510233,-0.0394516241940666,0.09513248333686601,-0.3133677869974132,0.10365488712630958,-0.18458494738159198,-0.20164222672918558,0.1067381810723904
-0.04394613990979922,-0.3780711115012042,-0.08370722645964947,-0.0063249388593228165,-0.43217509368257984,-0.08434121414606739,-0.07918379563436925,-0.4358540089714242,-0.10007774498560915,-0.039383783556445784,-0.2980615669491584,-0.10981795466300437,0.03160601242531299,-0.6644631056264044,-0.010558932284409751,-0.12264459625080847,-0.6781490620797282,-0.1435744359813251,-0.03556875176032705,-0.21466179815006028,-0.07585537896536947,0.02998898082386628,-0.941965145364469,-0.03142625207767492,-0.09046569819297708,-0.9238226859561038,-0.24670275310760836,-0.03352419978657771,-0.18017233791802137,-0.06456069307347287,0.05123653846853408,-0.9719378384750437,0.04443493874590266,-0.15040440436322242,-0.9688424585616909,-0.1967761700613992,-0.0159877370230133,-0.043234743597030556,-0.0443747103760093,0.02444705698254595,-0.11454197198403787,-0.053751740546349826,-0.07431146630391344,-0.09888265752684984,-0.05822324152628263,0.0,0.0,0.0,0.10689732101137497,-0.12347508141358507,-0.046641916182253725,-0.15215564472122906,-0.08582898324112699,-0.05148752314629462,0.16529328951534533,-0.268452347835959,-0.04182125174638438,-0.23329574774588485,-0.22468328756413594,-0.04638820653582777,0.09407792878510429,-0.3110195087253874,0.10357577369229025,-0.17840027081502707,-0.2135550580110934,0.10204519910132392
-0.04305586628474803,-0.3792875467303539,-0.08396427489023454,-0.0055850209794632445,-0.43341951511202714,-0.08525682307688313,-0.07835938010186207,-0.4369219276953404,-0.10031609082293706,-0.03855089984718137,-0.2992908043107056,-0.10982160286611901,0.03195097057521598,-0.6655820993667341,-0.008737386531885046,-0.12467778070009888,-0.679164803624148,-0.14195923784733072,-0.03434576070369476,-0.2156562443095849,-0.07558968927914075,0.0303735457917134,-0.9424921120785962,-0.03177807170129709,-0.0930192840133301,-0.9227897994278229,-0.24686172291720426,-0.03227165593227678,-0.18098865307849232,-0.0643951904256156,0.052299150474884676,-0.9722377898875799,0.04431067411854783,-0.15315659178846433,-0.9681914966736357,-0.19785125745577975,-0.015823204363279667,-0.04386058014269937,-0.04407853510710428,0.025198423135600983,-0.11502762893054223,-0.053541324504737565,-0.07383930048938982,-0.1000206115725567,-0.057851340621122224,0.0,0.0,0.0,0.10760316757184502,-0.1233674319211638,-0.046327369823640115,-0.15176395167650772,-0.08816985454348293,-0.05138973519218149,0.16437050148326518,-0.2685763059658849,-0.03956507273738097,-0.227184153099662,-0.23141571694904006,-0.04859617741884889,0.09435768194547327,-0.3086198742856812,0.1063806963723602,-0.1726850530281301,-0.2241657413300423,0.10116379430018725
