image_name,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21
frame_0000.jpg,0.0,0.9231947,0.0,0.061115593,0.8418726,0.0035167239,-0.05884406,0.8379978,-0.022367157,0.0043118405,1.0508742,-0.020641556,0.067958124,0.46592942,0.11774633,-0.16823743,0.45969793,-0.09981616,0.00076225185,1.1860386,0.006418974,0.043387987,0.04233731,0.075723976,-0.1511412,0.11546631,-0.30236968,0.0041597337,1.2290714,0.047107063,0.03464079,0.0069121644,0.21461627,-0.25727755,0.040691413,-0.25203645,0.0113460785,1.445514,0.0495093,0.07593891,1.3427149,0.024026513,-0.067033194,1.3488629,0.051150233,0.018833498,1.517258,0.11910193,0.19960444,1.3266584,-0.0010249969,-0.18357256,1.3284184,0.08770696,0.26073146,1.0907985,-0.058029987,-0.23499161,1.0739092,0.09430029,0.31541133,0.9301524,0.115606666,-0.20844051,0.89818686,0.26340353
frame_0001.jpg,0.0012442676,0.9254564,-0.0017300588,0.062895715,0.8470202,0.0011767321,-0.05686999,0.8420598,-0.024756903,0.0034882352,1.0534962,-0.021570085,0.06481243,0.4716829,0.119092874,-0.1685284,0.4642462,-0.12190471,-0.0012697635,1.1886321,0.0026096678,0.043579977,0.051260896,0.087230355,-0.13637498,0.12883055,-0.32468563,0.0012797455,1.2320364,0.042167883,0.02850953,0.011535112,0.22574598,-0.24367388,0.046155997,-0.2861992,0.0068619447,1.4493634,0.04166974,0.07271903,1.3465413,0.018917356,-0.07119237,1.3518797,0.043804348,0.016548986,1.5231078,0.10951757,0.19782767,1.3304801,-0.005482933,-0.18996142,1.3307972,0.083028905,0.2545656,1.0965323,-0.0597377,-0.2444783,1.0782355,0.102932,0.31533185,0.9332089,0.12981473,-0.21003552,0.90127945,0.26952538
frame_0002.jpg,0.0017333945,0.92639774,-0.005201445,0.06432539,0.8476878,-0.0009864215,-0.055282347,0.84100085,-0.030340962,0.0031366663,1.056013,-0.025064502,0.0699605,0.47432244,0.11872223,-0.1613724,0.46085757,-0.13523604,-0.0016898961,1.1926717,0.0021286202,0.05594904,0.049840506,0.07677398,-0.123004735,0.12408562,-0.337535,-0.0018422444,1.235544,0.043372322,0.043176826,0.010788739,0.21236444,-0.22597888,0.043167904,-0.29865235,-0.00034591777,1.4541084,0.044187278,0.068315774,1.3514749,0.02326627,-0.07591,1.3555402,0.041638017,0.003204164,1.5263598,0.111589715,0.19246596,1.3312328,0.0071655493,-0.19520329,1.3289857,0.076836154,0.25290334,1.0926669,-0.039531395,-0.23838054,1.0771745,0.09585869,0.30393964,0.93006057,0.16130747,-0.20862982,0.9047462,0.2655882
frame_0003.jpg,0.0023576885,0.9258315,-0.010808133,0.06381475,0.8466618,-0.0048009506,-0.05537908,0.8402004,-0.036747176,0.0053715818,1.0561737,-0.030360917,0.06186381,0.47127032,0.11621446,-0.15815042,0.45811373,-0.14758998,0.0006635515,1.1916763,-0.0031321938,0.04262038,0.048645385,0.07195186,-0.107488275,0.11288804,-0.34676704,-0.00023650634,1.23328,0.040444117,0.027734084,0.0116815865,0.20666766,-0.22393483,0.041003104,-0.31170198,0.0016494168,1.4517338,0.042278808,0.07066605,1.3491555,0.023965582,-0.074064784,1.3533463,0.03488232,0.0044613397,1.5255606,0.10770519,0.19676724,1.3268076,0.015866075,-0.19338962,1.3253353,0.06400347,0.2562582,1.0869659,-0.024718074,-0.2354721,1.0737357,0.082050584,0.28581068,0.928429,0.18936858,-0.21005845,0.90631473,0.25495118
frame_0004.jpg,0.0032181484,0.9258752,-0.017402356,0.06506803,0.84675336,-0.0070734564,-0.05429474,0.8393028,-0.04531647,0.0070684706,1.0568554,-0.039107725,0.05967308,0.47227004,0.11647195,-0.15239866,0.46254757,-0.15841018,-0.0002655778,1.1928346,-0.009240079,0.0394294,0.04935975,0.066049375,-0.08858582,0.110071614,-0.35410824,-0.0031832936,1.2338847,0.033894166,0.026680544,0.012071472,0.19906594,-0.21663259,0.041497823,-0.3221962,-0.00039987173,1.4517608,0.039399892,0.06889715,1.3496327,0.022524359,-0.07670083,1.3534518,0.028429227,-0.002062188,1.5238439,0.10519779,0.19548981,1.3305829,0.019352926,-0.19578509,1.3273934,0.05101019,0.2611459,1.0922866,-0.013946429,-0.23574921,1.0761935,0.07174555,0.2747084,0.9351357,0.2119819,-0.21232097,0.9066194,0.24801555
frame_0005.jpg,0.0045843828,0.9250224,-0.025304617,0.06429092,0.8451597,-0.010205127,-0.051864464,0.83892834,-0.056729183,0.011901681,1.0551419,-0.0470433,0.04629944,0.47353634,0.1246894,-0.15402555,0.4621331,-0.17451407,0.0014179177,1.1923163,-0.016670063,0.03321744,0.04997812,0.07339792,-0.07615138,0.11139894,-0.3614875,-0.003148775,1.2317111,0.025184037,0.01399127,0.012211155,0.2046705,-0.2104909,0.042594418,-0.34375554,0.00015457068,1.4506867,0.033370897,0.06940425,1.348168,0.020538313,-0.075658835,1.35303,0.016773647,-0.0049531995,1.5223894,0.09799773,0.19618364,1.3274069,0.025301097,-0.19458795,1.3265507,0.03062602,0.26393923,1.0872175,-0.00091343187,-0.23888275,1.076,0.053436726,0.26206145,0.93585783,0.2367726,-0.22632994,0.9068744,0.23498607
frame_0006.jpg,0.006344733,0.9266104,-0.035278525,0.06569703,0.84679836,-0.01661869,-0.049359154,0.84139454,-0.0704463,0.015443389,1.0575169,-0.056161605,0.03773944,0.4752545,0.123511404,-0.14625202,0.46563768,-0.18902819,0.0033378997,1.1941211,-0.02577778,0.024217613,0.051189702,0.07429044,-0.056446526,0.11110974,-0.36642104,-0.004284936,1.2335324,0.017683435,0.0059999684,0.0134794,0.20516194,-0.19550636,0.043358054,-0.35347927,-6.58175e-05,1.4535756,0.02828243,0.06957636,1.3500932,0.019244455,-0.07533968,1.3564231,0.00459053,-0.011208675,1.5255154,0.0935346,0.19539075,1.3277339,0.033592958,-0.19555387,1.3303077,0.009157717,0.26635414,1.0869627,0.008368079,-0.24476957,1.0779597,0.026792314,0.24270347,0.9398818,0.2550232,-0.25215167,0.91107416,0.21539113
frame_0007.jpg,0.009080546,0.92440605,-0.047075164,0.0683122,0.8447761,-0.02556724,-0.0451369,0.8388726,-0.086007014,0.01907194,1.055369,-0.06815136,0.034469135,0.47461438,0.119389385,-0.13671042,0.46413374,-0.20922829,0.0033749365,1.1923237,-0.03726764,0.022049773,0.04972483,0.07052939,-0.034261525,0.10607646,-0.3771533,-0.0071402676,1.2322221,0.0051769055,0.013868803,0.014069948,0.20450346,-0.1760409,0.040665843,-0.3672231,-0.0046565393,1.4522845,0.015012469,0.06617737,1.3490041,0.011314072,-0.07820009,1.3551908,-0.013885699,-0.019491231,1.5257292,0.078272015,0.19183381,1.3276948,0.03599387,-0.19955727,1.3308583,-0.020889178,0.26721296,1.087673,0.020875659,-0.25496778,1.0796759,-0.009003047,0.21687317,0.9476503,0.2665208,-0.28654736,0.91969556,0.18470232
frame_0008.jpg,0.012173595,0.9220753,-0.06045836,0.07157172,0.8423278,-0.03659542,-0.041055776,0.83556676,-0.100993544,0.02201958,1.0528938,-0.08270631,0.038425304,0.47389534,0.11446503,-0.12785527,0.46345353,-0.22161028,0.004593882,1.190063,-0.053244904,0.03024443,0.049940392,0.0684209,-0.02167215,0.103278935,-0.38923752,-0.008914236,1.2293038,-0.012262199,0.024814637,0.014649801,0.20192844,-0.16177416,0.037488513,-0.38040826,-0.006923368,1.4495677,-0.0030461885,0.06463859,1.3464023,-0.0007549338,-0.07910875,1.3527019,-0.03664756,-0.026054962,1.5230993,0.058817517,0.18681827,1.325161,0.033932317,-0.2010417,1.3293556,-0.05412844,0.26538664,1.0868839,0.028732207,-0.26651084,1.0786805,-0.053967927,0.18912533,0.95731056,0.26675093,-0.32556552,0.9303722,0.14686392
frame_0009.jpg,0.015326968,0.91760284,-0.07547067,0.074304566,0.83848935,-0.045921028,-0.03604455,0.83104384,-0.11883131,0.026768882,1.048996,-0.09839913,0.038042992,0.47164357,0.1109962,-0.11968998,0.45997998,-0.2395791,0.0038431324,1.1862189,-0.07206928,0.03372147,0.04597929,0.06918149,-0.0031774277,0.09412232,-0.394332,-0.013267399,1.2248155,-0.030811187,0.03313922,0.014081087,0.20175718,-0.14935966,0.03308852,-0.39532804,-0.010083149,1.4450501,-0.025297716,0.059782784,1.3421516,-0.015858188,-0.080307096,1.3486261,-0.062889315,-0.031623654,1.5195081,0.03496547,0.1791545,1.3205384,0.029454157,-0.2012013,1.3275299,-0.09359267,0.2628742,1.0827628,0.0388823,-0.27834314,1.085165,-0.11145493,0.16610985,0.9671672,0.27565318,-0.37298816,0.956792,0.09257193
